file,mean_rms_db,median_rms_db,std_rms_db,silence_ratio,num_frames,sr,noise_score
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0010_0006_add.wav,-180.0099334716797,-200.0,54.0454216003418,0.9049645390070922,705,16000,1.8540597840741562
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0001_add.wav,-173.96926879882812,-200.0,58.411136627197266,0.936923076923077,650,16000,1.8526745977364927
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0015_0021.wav,-180.19869995117188,-200.0,54.35955810546875,0.9020771513353115,674,16000,1.8519041155496083
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0004_0017_add.wav,-179.282470703125,-200.0,54.029388427734375,0.9066147859922179,771,16000,1.8513333987167993
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0005_0011_add.wav,-178.3545684814453,-200.0,54.741390228271484,0.9111747851002865,698,16000,1.8507141421963682
HD-Track2-dev\HD-Track2-dev-zh\Third-party Speech_after\clean_0004_0027.wav,-178.26480102539062,-200.0,54.829776763916016,0.9111111111111111,720,16000,1.85006649059182
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0015_add.wav,-174.9669189453125,-200.0,57.39783477783203,0.9283489096573209,642,16000,1.8490659130157423
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0008_0002_add.wav,-173.30699157714844,-200.0,58.80543518066406,0.9374068554396423,671,16000,1.8490065998621001
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0006_0017_add.wav,-178.85711669921875,-200.0,54.451297760009766,0.90625,640,16000,1.848191133172688
HD-Track2-dev\HD-Track2-dev-zh\Follow-up Questions\clean_0008_0005_add.wav,-174.24862670898438,-200.0,58.35272979736328,0.9305019305019305,777,16000,1.8469834796406284
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0003_0024.wav,-179.7381134033203,-200.0,53.6168327331543,0.9003496503496503,572,16000,1.8469501901189889
HD-Track2-dev\HD-Track2-dev-zh\User Real-time Backchannels\clean_0002_0003.wav,-175.57412719726562,-200.0,56.8135986328125,0.9219269102990033,602,16000,1.8454684155124386
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0007_0015_add.wav,-179.8096923828125,-200.0,54.57476806640625,0.8976744186046511,645,16000,1.8442928243383938
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0006_0020_add.wav,-179.39706420898438,-200.0,54.060977935791016,0.8997326203208557,748,16000,1.8440528633596487
HD-Track2-dev\HD-Track2-dev-zh\Repetition Requests\clean_0006_0002_add.wav,-179.95021057128906,-200.0,53.70346450805664,0.895774647887324,710,16000,1.8429787487306124
HD-Track2-dev\HD-Track2-dev-zh\Negation or Dissatisfaction\clean_0013_0006.wav,-179.2328643798828,-200.0,54.012168884277344,0.899671052631579,608,16000,1.8429321206544607
HD-Track2-dev\HD-Track2-dev-zh\Topic Switching\clean_0005_0033.wav,-179.46925354003906,-200.0,55.88178634643555,0.8981077147016011,687,16000,1.8426222551568623
