file,mean_rms_db,median_rms_db,std_rms_db,silence_ratio,num_frames,sr
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0010.wav,-44.288307189941406,-39.68399429321289,13.430022239685059,0.4710087370929309,1259,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0012.wav,-45.063045501708984,-39.15264129638672,14.547361373901367,0.4281183932346723,946,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0001.wav,-36.59778594970703,-34.36564636230469,9.346671104431152,0.31180968564146133,1177,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0002.wav,-37.26982879638672,-34.88493347167969,9.078277587890625,0.3133116883116883,1232,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0003.wav,-37.667659759521484,-36.00691223144531,8.270943641662598,0.3234567901234568,1620,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0004.wav,-37.81227111816406,-35.80907440185547,8.878979682922363,0.32166666666666666,1200,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0005.wav,-37.57434844970703,-35.63629150390625,8.402990341186523,0.3142857142857143,1260,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0006.wav,-40.452571868896484,-38.31317901611328,9.522296905517578,0.4272030651340996,1044,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0007.wav,-37.902774810791016,-36.39955139160156,8.53467845916748,0.34417932031814896,1383,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0008.wav,-38.1714973449707,-36.27106857299805,8.224502563476562,0.35824175824175825,1365,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0009.wav,-38.0123176574707,-36.52606201171875,8.281682968139648,0.34534534534534533,1332,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0010.wav,-36.699581146240234,-34.86723327636719,8.046555519104004,0.2870036101083033,1108,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0011.wav,-37.12346649169922,-35.573822021484375,7.854450702667236,0.3127413127413127,1036,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0106_0012.wav,-37.68611526489258,-34.94403839111328,8.656116485595703,0.3508771929824561,1254,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0001.wav,-46.276451110839844,-32.71340560913086,26.0806827545166,0.33969185619955977,1363,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0002.wav,-41.861087799072266,-32.14469528198242,21.522506713867188,0.29909194097616343,1762,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0003.wav,-46.73958969116211,-30.829744338989258,28.75653648376465,0.32728842832469773,1158,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0004.wav,-49.458194732666016,-32.819427490234375,28.95256996154785,0.37173717371737175,1111,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0005.wav,-44.848777770996094,-31.797351837158203,26.086837768554688,0.3141559424678274,1321,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0006.wav,-47.14308547973633,-31.748817443847656,27.241947174072266,0.3404081632653061,1225,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0007.wav,-43.084468841552734,-31.800243377685547,22.983760833740234,0.3226817042606516,1596,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0008.wav,-46.699066162109375,-32.24130630493164,26.992189407348633,0.3451025056947608,1756,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0009.wav,-44.37550735473633,-31.349117279052734,26.494422912597656,0.29378172588832485,1576,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0010.wav,-43.22409439086914,-31.126102447509766,25.678627014160156,0.2751196172248804,1672,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0011.wav,-43.462440490722656,-31.451358795166016,24.38604164123535,0.296218487394958,1428,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0107_0012.wav,-47.816741943359375,-31.741098403930664,28.33760643005371,0.3574660633484163,1326,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0001.wav,-39.87142562866211,-34.150001525878906,14.413304328918457,0.32184808144087707,1277,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0002.wav,-38.500099182128906,-34.037872314453125,13.95675277709961,0.28742994395516414,1249,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0003.wav,-40.5888671875,-34.502471923828125,14.641706466674805,0.3405622489959839,1245,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0004.wav,-38.60346603393555,-32.88987350463867,14.49018383026123,0.3053311793214863,1238,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0005.wav,-40.988182067871094,-33.72728729248047,15.457232475280762,0.36327739387956565,1013,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0007.wav,-41.31970977783203,-34.9462890625,15.737164497375488,0.3854389721627409,934,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0008.wav,-39.7841911315918,-34.40056228637695,13.887974739074707,0.3202614379084967,1071,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0009.wav,-42.4193115234375,-35.91106033325195,15.027411460876465,0.39787234042553193,940,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0010.wav,-41.216064453125,-35.84857177734375,14.765705108642578,0.3824152542372881,944,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0011.wav,-38.374412536621094,-33.673423767089844,13.86916446685791,0.307449494949495,1584,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0108_0012.wav,-40.93740463256836,-34.164669036865234,15.472884178161621,0.3775401069518717,935,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0001.wav,-43.5259895324707,-35.75579071044922,20.171886444091797,0.2820987654320988,1620,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0002.wav,-46.62156295776367,-36.710384368896484,22.212947845458984,0.35683760683760685,1404,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0003.wav,-45.139102935791016,-35.8436279296875,22.013399124145508,0.31894484412470026,1251,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0004.wav,-44.62824630737305,-34.76256561279297,22.547809600830078,0.2906752411575563,1555,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0005.wav,-45.17040252685547,-32.65253829956055,25.355857849121094,0.28952772073921973,974,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0006.wav,-47.197837829589844,-34.004425048828125,25.642854690551758,0.34678111587982835,1165,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0007.wav,-42.344486236572266,-32.08153533935547,23.476457595825195,0.24820143884892087,1112,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0008.wav,-42.29292297363281,-31.900854110717773,23.71906280517578,0.2608257804632427,993,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0009.wav,-41.260372161865234,-30.64240264892578,23.65098762512207,0.22574257425742575,1010,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0010.wav,-45.32109832763672,-33.722259521484375,24.515562057495117,0.30327868852459017,1220,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0011.wav,-42.92378234863281,-31.477632522583008,24.424158096313477,0.2557522123893805,1130,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0109_0012.wav,-44.39301300048828,-31.731531143188477,25.48970603942871,0.29466791393826003,1069,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0001.wav,-41.770687103271484,-36.71232604980469,15.443747520446777,0.4408921933085502,1345,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0002.wav,-41.87906265258789,-36.35149383544922,15.825128555297852,0.42168674698795183,1162,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0003.wav,-41.67736053466797,-37.247493743896484,14.851296424865723,0.400359066427289,1114,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0004.wav,-42.81905746459961,-37.77000427246094,15.363625526428223,0.43579454253611555,1246,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0005.wav,-41.7898063659668,-36.44361877441406,15.21676254272461,0.4122137404580153,1179,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0006.wav,-43.79811477661133,-38.799522399902344,15.67405891418457,0.4799154334038055,946,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0008.wav,-40.49231719970703,-35.97134017944336,14.981415748596191,0.38100436681222705,916,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0009.wav,-40.712127685546875,-34.19915008544922,15.138202667236328,0.3761194029850746,1675,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0010.wav,-40.818145751953125,-36.631038665771484,15.093461036682129,0.3940990516332982,949,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0011.wav,-42.06401443481445,-36.854949951171875,15.452129364013672,0.4189189189189189,1110,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0110_0012.wav,-42.47915267944336,-38.10200500488281,15.51704216003418,0.45636172450052576,951,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0001.wav,-42.776424407958984,-30.144630432128906,25.309797286987305,0.26851851851851855,1080,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0002.wav,-45.5776252746582,-31.099388122558594,26.88577651977539,0.32322357019064124,1154,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0003.wav,-45.48431396484375,-33.397953033447266,25.78921127319336,0.3343108504398827,1023,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0004.wav,-43.36660385131836,-31.056835174560547,25.312002182006836,0.29022704837117475,1013,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0005.wav,-43.3545036315918,-31.12969970703125,25.438203811645508,0.27085590465872156,923,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0006.wav,-41.27901840209961,-31.92886734008789,22.206666946411133,0.2759146341463415,1312,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0007.wav,-44.124141693115234,-30.284992218017578,26.940052032470703,0.2947247706422018,872,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0008.wav,-42.43360900878906,-30.43054962158203,25.141847610473633,0.2885572139303483,1206,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0009.wav,-40.18284225463867,-29.965457916259766,23.3546085357666,0.23651452282157676,1446,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0010.wav,-40.83222961425781,-28.590932846069336,25.982177734375,0.25259515570934254,1156,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0011.wav,-42.276283264160156,-28.41976547241211,26.293155670166016,0.27914893617021275,1175,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0111_0012.wav,-39.91571044921875,-29.94007682800293,22.482118606567383,0.2578740157480315,1524,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0001.wav,-42.692298889160156,-36.09498596191406,15.321781158447266,0.38760806916426516,1388,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0002.wav,-45.947998046875,-38.37344741821289,16.76250457763672,0.4598012646793135,1107,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0003.wav,-44.450096130371094,-38.31538772583008,14.652667045593262,0.4377224199288256,1124,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0004.wav,-44.896484375,-37.871097564697266,15.668160438537598,0.42737642585551333,1315,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0005.wav,-44.9814338684082,-38.1861572265625,15.80397891998291,0.43722172751558325,1123,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0006.wav,-44.48396301269531,-37.16115188598633,16.043344497680664,0.4279661016949153,1180,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0007.wav,-44.69719696044922,-37.444061279296875,15.69505786895752,0.43271555197421435,1241,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0008.wav,-46.264095306396484,-39.05376052856445,15.929441452026367,0.4617117117117117,888,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0009.wav,-45.96006774902344,-39.443077087402344,15.941658020019531,0.47731755424063116,1014,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0010.wav,-43.72948455810547,-37.309661865234375,15.53213119506836,0.4265432098765432,1620,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0011.wav,-42.510475158691406,-36.38290023803711,14.960604667663574,0.3886113886113886,1001,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0112_0012.wav,-42.31441879272461,-35.74750900268555,15.0979585647583,0.37488372093023253,1075,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0001.wav,-39.00175094604492,-22.76424789428711,30.93785858154297,0.31347387717690195,1091,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0002.wav,-36.041473388671875,-22.519699096679688,29.15476417541504,0.26532033426183843,1436,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0003.wav,-36.41584014892578,-23.804162979125977,27.730714797973633,0.27906976744186046,1548,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0004.wav,-39.057106018066406,-22.097558975219727,31.474613189697266,0.31513409961685823,1044,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0005.wav,-37.288230895996094,-22.595895767211914,30.035263061523438,0.29274193548387095,1240,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0006.wav,-37.10383605957031,-22.6600284576416,29.163074493408203,0.28850664581704455,1279,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0007.wav,-37.63920974731445,-22.91455078125,29.06652069091797,0.3041695146958305,1463,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0008.wav,-38.21419906616211,-23.34072494506836,29.027679443359375,0.3082901554404145,1544,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0009.wav,-38.1698112487793,-21.487638473510742,31.637298583984375,0.3038210624417521,1073,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0010.wav,-38.382015228271484,-22.41423797607422,30.98232650756836,0.3019213174748399,1093,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0011.wav,-37.655826568603516,-22.540298461914062,29.78806495666504,0.2934306569343066,1370,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0113_0012.wav,-39.9107780456543,-23.093868255615234,31.23940086364746,0.3486088379705401,1222,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0001.wav,-46.57899856567383,-36.24665069580078,21.7099552154541,0.40465631929046564,1804,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0002.wav,-45.433990478515625,-34.238582611083984,23.380483627319336,0.3460388639760837,1338,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0003.wav,-53.623985290527344,-40.0306510925293,26.796287536621094,0.500544069640914,919,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0004.wav,-45.35679626464844,-34.88438415527344,22.301164627075195,0.3602216748768473,1624,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0005.wav,-46.59679412841797,-34.274147033691406,24.468156814575195,0.37589158345221113,1402,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0006.wav,-48.27263641357422,-35.09632110595703,24.401981353759766,0.41120815138282385,1374,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0007.wav,-51.912200927734375,-40.012054443359375,23.906814575195312,0.5004262574595055,1173,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0008.wav,-51.39775466918945,-37.642784118652344,25.42945671081543,0.4632867132867133,1144,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0009.wav,-49.60851287841797,-36.88800048828125,25.340988159179688,0.4481865284974093,1158,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0010.wav,-45.352813720703125,-33.05341720581055,24.171707153320312,0.34724186704384724,1414,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0011.wav,-45.6176643371582,-33.33112335205078,23.547256469726562,0.3749216300940439,1595,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0114_0012.wav,-46.105289459228516,-32.902801513671875,24.284040451049805,0.3814747105423522,1641,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0002.wav,-45.75618362426758,-33.97950744628906,25.272974014282227,0.40015420200462604,1297,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0003.wav,-43.2443733215332,-32.341163635253906,26.017208099365234,0.3285472972972973,1184,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0004.wav,-42.665077209472656,-32.650901794433594,25.391353607177734,0.32263242375601925,1246,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0005.wav,-42.7166862487793,-32.28514862060547,25.226848602294922,0.3461812990720914,1401,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0006.wav,-46.01203918457031,-33.44037628173828,26.150999069213867,0.38553191489361704,1175,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0009.wav,-41.940338134765625,-31.39307403564453,24.720844268798828,0.3120057512580877,1391,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0010.wav,-42.60318374633789,-31.63689422607422,25.8674373626709,0.31276778063410454,1167,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0011.wav,-40.48220443725586,-30.08126449584961,24.695648193359375,0.2957339117859725,1383,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0115_0012.wav,-40.86814880371094,-31.013622283935547,24.217693328857422,0.30268918073796125,1599,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0001.wav,-43.521400451660156,-33.910335540771484,21.94493865966797,0.3393817204301075,1488,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0002.wav,-47.913700103759766,-34.066810607910156,26.123979568481445,0.3830227743271222,966,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0003.wav,-45.76953125,-33.15906524658203,25.077356338500977,0.34,1100,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0005.wav,-42.521175384521484,-33.78233337402344,20.090293884277344,0.3297244094488189,2032,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0006.wav,-46.332008361816406,-35.75312805175781,23.54964256286621,0.37227414330218067,1284,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0007.wav,-44.908870697021484,-35.40479278564453,21.777633666992188,0.3536184210526316,1824,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0008.wav,-46.351322174072266,-35.914451599121094,22.17851448059082,0.38522427440633245,1516,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0009.wav,-46.060604095458984,-34.41661071777344,25.28371810913086,0.3345132743362832,1130,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0010.wav,-44.931270599365234,-34.26915740966797,22.267885208129883,0.3515527950310559,1610,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0011.wav,-47.36942672729492,-36.31064224243164,23.781496047973633,0.38289036544850497,1204,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0116_0012.wav,-47.016929626464844,-35.7265739440918,22.586484909057617,0.36951833213515456,1391,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0117_0001.wav,-49.69398880004883,-38.683502197265625,26.852638244628906,0.4603746397694525,1388,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0117_0002.wav,-52.71434020996094,-38.69114303588867,29.738277435302734,0.46692991115498517,1013,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0117_0004.wav,-50.919925689697266,-38.4962272644043,30.27824592590332,0.4497098646034816,1034,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0117_0005.wav,-48.67995834350586,-37.32270812988281,26.27971076965332,0.4194156456173421,1061,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0117_0006.wav,-49.72578811645508,-37.01369094848633,26.105560302734375,0.4228571428571429,1225,16000
